user_id,date,age,age_group,social_media_hours,work_or_study_hours,entertainment_hours,total_screen_time,primary_device,internet_type
28,2024-06-01,31,26-35,2.3,3.3,1.8,7.4,Mobile,Mobile Data
29,2024-10-10,49,46-60,0.7,5.6,2.2,8.5,Mobile,WiFi
30,2024-06-22,34,26-35,2.7,4.5,0.7,7.9,Tablet,WiFi
31,2024-12-07,20,19-25,3.3,2.2,2.9,8.4,Laptop,Mobile Data
32,2024-12-22,39,36-45,1.0,5.6,0.6,7.2,Tablet,WiFi
33,2024-06-10,49,46-60,3.6,2.2,1.8,7.6,Tablet,WiFi
34,2024-08-12,24,19-25,2.2,3.4,1.8,7.4,Mobile,WiFi
35,2024-01-13,14,13-18,2.1,3.1,2.1,7.3,Tablet,Mobile Data
36,2024-10-27,69,60+,3.4,3.9,3.0,10.3,Tablet,Mobile Data
37,2024-03-08,42,36-45,1.6,4.1,1.1,6.8,Mobile,WiFi
38,2024-01-03,31,26-35,3.5,3.4,2.2,9.1,Mobile,WiFi
39,2024-10-27,18,13-18,2.0,2.1,1.9,6.0,Mobile,Mobile Data
40,2024-05-30,16,13-18,3.1,2.2,2.9,8.2,Tablet,WiFi
41,2024-04-26,36,36-45,1.6,1.0,0.9,3.5,Mobile,WiFi
42,2024-08-16,19,19-25,3.2,3.2,3.0,9.4,Tablet,Mobile Data
43,2024-04-13,60,46-60,1.2,1.3,1.7,4.2,Laptop,WiFi
44,2024-05-16,33,26-35,3.6,1.8,3.0,8.4,Tablet,Mobile Data
45,2024-09-03,68,60+,1.7,3.3,1.3,6.3,Tablet,WiFi
46,2024-01-30,42,36-45,2.8,4.2,1.9,8.9,Laptop,WiFi
47,2024-05-01,74,60+,3.5,2.2,1.1,6.8,Laptop,Mobile Data
48,2024-05-08,21,19-25,0.5,2.4,1.2,4.1,Laptop,Mobile Data
49,2024-02-19,67,60+,1.3,5.5,2.9,9.7,Laptop,Mobile Data
50,2024-11-29,32,26-35,3.4,2.1,2.8,8.3,Mobile,WiFi
51,2024-02-29,26,26-35,1.2,4.7,3.1,9.0,Tablet,WiFi
52,2024-04-18,20,19-25,3.5,3.1,1.0,7.6,Mobile,Mobile Data
53,2024-04-28,17,13-18,3.4,2.6,1.1,7.1,Tablet,Mobile Data
54,2024-10-28,70,60+,2.1,6.8,1.1,10.0,Tablet,WiFi
55,2024-10-06,52,46-60,1.1,1.1,3.4,5.6,Mobile,Mobile Data
56,2024-03-05,17,13-18,0.8,2.0,2.7,5.5,Mobile,Mobile Data
57,2024-09-12,67,60+,3.4,6.2,0.6,10.2,Tablet,Mobile Data
58,2024-03-19,33,26-35,2.5,3.4,1.3,7.2,Mobile,WiFi
59,2024-04-19,71,60+,0.4,3.4,0.7,4.5,Laptop,Mobile Data
60,2024-05-17,16,13-18,3.1,4.5,3.1,10.7,Laptop,Mobile Data
61,2024-10-22,66,60+,2.3,5.8,1.4,9.5,Tablet,Mobile Data
62,2024-02-08,29,26-35,0.6,4.2,0.5,5.3,Mobile,Mobile Data
63,2024-01-18,47,46-60,1.1,4.9,0.8,6.8,Tablet,WiFi
64,2024-06-01,19,19-25,0.9,5.9,2.8,9.6,Mobile,Mobile Data
65,2024-08-14,43,36-45,0.5,3.4,2.7,6.6,Tablet,Mobile Data
66,2024-09-04,14,13-18,0.8,6.3,2.5,9.6,Mobile,WiFi
67,2024-07-12,66,60+,0.7,5.3,3.0,9.0,Laptop,Mobile Data
68,2024-01-31,25,19-25,0.9,4.5,1.2,6.6,Mobile,WiFi
69,2024-12-22,14,13-18,1.4,2.1,0.9,4.4,Mobile,WiFi
70,2024-06-28,30,26-35,0.7,5.6,2.8,9.1,Tablet,WiFi
71,2024-11-21,63,60+,2.0,4.2,1.6,7.8,Tablet,WiFi
72,2024-05-01,30,26-35,3.4,4.6,2.2,10.2,Mobile,Mobile Data
73,2024-11-07,33,26-35,2.2,6.3,2.9,11.4,Laptop,Mobile Data
74,2024-07-31,73,60+,2.2,3.1,2.3,7.6,Mobile,Mobile Data
75,2024-07-11,60,46-60,2.3,4.1,1.2,7.6,Mobile,Mobile Data
76,2024-07-04,29,26-35,2.5,1.5,2.4,6.4,Mobile,WiFi
77,2024-04-14,32,26-35,0.8,5.3,1.1,7.2,Tablet,Mobile Data
78,2024-01-21,43,36-45,3.9,3.5,1.6,9.0,Tablet,Mobile Data
79,2024-11-17,22,19-25,0.8,2.4,1.1,4.3,Laptop,WiFi
80,2024-02-02,67,60+,1.5,3.4,1.0,5.9,Mobile,WiFi
81,2024-07-07,70,60+,1.5,4.5,1.3,7.3,Tablet,Mobile Data
82,2024-03-11,55,46-60,3.1,1.9,1.2,6.2,Mobile,Mobile Data
83,2024-09-11,72,60+,2.9,6.9,2.8,12.6,Mobile,WiFi
84,2024-01-05,22,19-25,3.9,3.4,2.0,9.3,Mobile,Mobile Data
85,2024-07-05,44,36-45,0.4,5.5,1.9,7.8,Tablet,WiFi
86,2024-02-12,51,46-60,3.0,4.6,2.7,10.3,Tablet,WiFi
87,2024-08-30,51,46-60,3.6,5.2,1.3,10.1,Laptop,Mobile Data
88,2024-07-02,43,36-45,3.0,3.4,3.0,9.4,Laptop,WiFi
89,2024-02-09,40,36-45,0.4,1.6,3.3,5.3,Mobile,WiFi
90,2024-12-02,70,60+,2.2,5.0,1.1,8.3,Mobile,WiFi
91,2024-09-03,34,26-35,3.6,5.0,1.3,9.9,Laptop,WiFi
92,2024-03-18,28,26-35,1.4,3.9,1.2,6.5,Tablet,Mobile Data
93,2024-11-20,26,26-35,1.4,1.2,2.6,5.2,Laptop,WiFi
94,2024-04-10,73,60+,1.5,3.0,1.7,6.2,Laptop,Mobile Data
95,2024-04-06,74,60+,1.4,1.9,2.6,5.9,Laptop,WiFi
96,2024-03-11,35,26-35,4.0,2.0,1.7,7.7,Laptop,WiFi
97,2024-12-16,43,36-45,2.5,2.6,0.7,5.8,Laptop,Mobile Data
98,2024-06-02,22,19-25,3.8,2.5,1.6,7.9,Laptop,WiFi
99,2024-01-10,50,46-60,1.6,4.7,3.1,9.4,Mobile,Mobile Data
100,2024-03-16,19,19-25,1.4,3.2,3.1,7.7,Mobile,Mobile Data
101,2024-12-25,42,36-45,1.3,6.3,2.3,9.9,Laptop,WiFi
102,2024-12-23,32,26-35,2.4,4.8,1.3,8.5,Laptop,Mobile Data
103,2024-09-05,41,36-45,0.5,2.2,1.3,4.0,Tablet,Mobile Data
104,2024-04-01,29,26-35,1.6,5.2,3.2,10.0,Laptop,Mobile Data
105,2024-11-19,45,36-45,0.4,6.5,1.2,8.1,Tablet,WiFi
106,2024-01-19,43,36-45,1.4,2.9,3.4,7.7,Tablet,WiFi
107,2024-02-07,64,60+,3.0,3.1,2.7,8.8,Laptop,WiFi
108,2024-03-06,14,13-18,2.2,1.9,0.8,4.9,Mobile,Mobile Data
109,2024-09-19,21,19-25,0.7,2.1,3.2,6.0,Tablet,WiFi
110,2024-11-23,22,19-25,3.3,4.2,2.9,10.4,Tablet,WiFi
111,2024-08-13,22,19-25,0.7,5.9,0.6,7.2,Laptop,WiFi
112,2024-04-22,48,46-60,1.9,6.6,2.8,11.3,Tablet,WiFi
113,2024-01-09,68,60+,0.7,4.6,0.8,6.1,Tablet,WiFi
114,2024-07-23,53,46-60,2.3,2.4,3.4,8.1,Tablet,WiFi
115,2024-02-06,24,19-25,2.3,5.6,2.2,10.1,Mobile,Mobile Data
116,2024-12-05,13,13-18,1.7,4.7,1.6,8.0,Mobile,Mobile Data
117,2024-10-16,32,26-35,2.3,6.0,2.7,11.0,Mobile,WiFi
118,2024-04-23,41,36-45,2.8,3.1,0.6,6.5,Mobile,Mobile Data
119,2024-01-27,24,19-25,3.3,3.3,1.0,7.6,Mobile,WiFi
120,2024-10-19,54,46-60,0.7,1.0,3.2,4.9,Laptop,WiFi
121,2024-09-29,62,60+,3.7,6.1,2.6,12.4,Laptop,WiFi
122,2024-04-06,67,60+,2.1,5.6,0.8,8.5,Mobile,WiFi
123,2024-05-26,52,46-60,0.4,2.9,0.6,3.9,Tablet,Mobile Data
124,2024-06-13,51,46-60,1.3,1.9,1.6,4.8,Laptop,WiFi
125,2024-01-16,50,46-60,1.9,6.7,0.8,9.4,Laptop,WiFi
126,2024-11-25,48,46-60,3.9,5.9,3.4,13.2,Mobile,Mobile Data
127,2024-10-12,65,60+,0.4,3.3,2.7,6.4,Tablet,Mobile Data
128,2024-06-29,31,26-35,3.6,6.1,1.3,11.0,Laptop,Mobile Data
129,2024-03-11,59,46-60,1.1,3.8,0.8,5.7,Tablet,Mobile Data
130,2024-06-04,44,36-45,3.4,3.7,1.0,8.1,Laptop,Mobile Data
131,2024-11-20,74,60+,3.0,5.7,0.6,9.3,Tablet,Mobile Data
132,2024-12-17,72,60+,1.3,2.7,0.7,4.7,Laptop,Mobile Data
133,2024-09-29,41,36-45,2.3,4.6,0.9,7.8,Mobile,WiFi
134,2024-12-22,74,60+,3.0,6.6,1.9,11.5,Laptop,Mobile Data
135,2024-10-21,20,19-25,2.9,2.1,2.2,7.2,Tablet,WiFi
136,2024-12-02,52,46-60,3.8,4.4,0.9,9.1,Tablet,WiFi
137,2024-06-23,51,46-60,1.8,3.8,0.8,6.4,Mobile,Mobile Data
138,2024-06-15,54,46-60,1.3,1.7,1.2,4.2,Laptop,Mobile Data
139,2024-07-12,19,19-25,2.4,5.9,1.3,9.6,Laptop,WiFi
140,2024-11-19,23,19-25,2.1,1.8,2.4,6.3,Mobile,Mobile Data
141,2024-12-05,35,26-35,2.6,1.9,2.9,7.4,Tablet,WiFi
142,2024-02-20,67,60+,1.9,4.7,3.2,9.8,Mobile,WiFi
143,2024-10-05,16,13-18,2.9,1.9,2.1,6.9,Mobile,Mobile Data
144,2024-09-23,47,46-60,3.1,5.9,2.0,11.0,Tablet,Mobile Data
145,2024-05-18,13,13-18,1.0,2.5,2.7,6.2,Laptop,WiFi
146,2024-10-22,53,46-60,3.2,5.7,2.0,10.9,Tablet,Mobile Data
147,2024-01-05,22,19-25,3.3,5.2,0.9,9.4,Tablet,WiFi
148,2024-11-18,55,46-60,3.9,4.3,3.4,11.6,Laptop,WiFi
149,2024-01-05,17,13-18,0.9,6.4,2.8,10.1,Tablet,Mobile Data
150,2024-07-17,42,36-45,2.5,3.4,1.0,6.9,Tablet,Mobile Data
151,2024-10-10,72,60+,2.8,2.4,2.8,8.0,Mobile,Mobile Data
152,2024-05-11,54,46-60,0.9,3.7,3.0,7.6,Laptop,Mobile Data
153,2024-10-25,26,26-35,0.6,5.9,0.7,7.2,Laptop,WiFi
154,2024-07-17,22,19-25,3.5,2.6,1.1,7.2,Tablet,Mobile Data
155,2024-03-31,21,19-25,2.8,4.3,1.0,8.1,Laptop,Mobile Data
156,2024-08-19,68,60+,2.0,2.3,0.6,4.9,Tablet,Mobile Data
157,2024-10-05,16,13-18,3.4,6.6,2.5,12.5,Mobile,WiFi
158,2024-04-15,43,36-45,3.6,2.8,2.6,9.0,Laptop,WiFi
159,2024-01-02,19,19-25,1.4,5.0,1.9,8.3,Mobile,WiFi
160,2024-03-26,29,26-35,2.0,4.5,2.1,8.6,Laptop,WiFi
161,2024-09-13,53,46-60,2.1,4.5,2.6,9.2,Tablet,Mobile Data
162,2024-06-07,35,26-35,1.7,3.9,1.4,7.0,Mobile,Mobile Data
163,2024-10-04,23,19-25,4.0,1.6,1.7,7.3,Mobile,WiFi
164,2024-02-26,15,13-18,3.4,3.7,2.2,9.3,Laptop,Mobile Data
165,2024-12-11,65,60+,1.0,2.1,2.5,5.6,Tablet,Mobile Data
166,2024-03-06,29,26-35,0.8,6.4,2.5,9.7,Tablet,WiFi
167,2024-03-01,60,46-60,3.5,5.8,1.9,11.2,Mobile,WiFi
168,2024-08-10,35,26-35,0.3,5.9,2.4,8.6,Laptop,WiFi
169,2024-12-19,32,26-35,1.0,4.8,1.5,7.3,Laptop,Mobile Data
170,2024-04-11,25,19-25,1.8,2.8,1.4,6.0,Mobile,WiFi
171,2024-08-29,56,46-60,0.3,3.9,1.4,5.6,Laptop,WiFi
172,2024-11-30,47,46-60,0.3,4.7,0.8,5.8,Laptop,Mobile Data
173,2024-07-26,61,60+,2.8,5.6,1.4,9.8,Tablet,WiFi
174,2024-04-21,67,60+,0.7,6.4,1.5,8.6,Tablet,Mobile Data
175,2024-05-01,60,46-60,1.6,6.3,0.7,8.6,Laptop,Mobile Data
176,2024-05-13,32,26-35,2.6,6.0,0.7,9.3,Mobile,WiFi
177,2024-01-31,13,13-18,0.7,5.7,2.6,9.0,Mobile,WiFi
178,2024-11-23,29,26-35,3.0,3.5,1.3,7.8,Laptop,WiFi
179,2024-05-20,17,13-18,2.2,4.8,1.4,8.4,Laptop,WiFi
180,2024-03-11,22,19-25,1.8,4.7,2.1,8.6,Tablet,WiFi
181,2024-12-11,33,26-35,3.1,5.9,1.5,10.5,Tablet,Mobile Data
182,2024-03-27,14,13-18,0.5,4.2,2.7,7.4,Tablet,Mobile Data
183,2024-12-26,43,36-45,3.7,7.0,3.0,13.7,Tablet,WiFi
184,2024-11-26,23,19-25,2.7,4.2,1.7,8.6,Laptop,Mobile Data
185,2024-06-02,40,36-45,3.7,6.1,1.7,11.5,Tablet,Mobile Data
186,2024-10-07,43,36-45,0.8,1.4,1.3,3.5,Tablet,Mobile Data
187,2024-12-20,42,36-45,4.0,2.5,2.9,9.4,Laptop,WiFi
188,2024-04-19,13,13-18,3.2,6.6,2.4,12.2,Mobile,Mobile Data
189,2024-08-11,30,26-35,3.3,1.1,2.8,7.2,Laptop,WiFi
190,2024-06-23,54,46-60,3.3,4.1,2.3,9.7,Tablet,Mobile Data
191,2024-12-16,36,36-45,2.6,4.9,2.4,9.9,Mobile,Mobile Data
192,2024-01-22,36,36-45,2.7,6.2,2.5,11.4,Tablet,Mobile Data
193,2024-07-30,14,13-18,1.3,5.2,2.4,8.9,Tablet,Mobile Data
194,2024-12-24,23,19-25,0.6,6.5,2.7,9.8,Mobile,WiFi
195,2024-05-07,67,60+,1.3,4.3,0.7,6.3,Tablet,WiFi
196,2024-10-31,31,26-35,3.1,4.2,1.8,9.1,Mobile,WiFi
197,2024-02-03,23,19-25,1.8,1.5,0.7,4.0,Mobile,WiFi
198,2024-06-16,37,36-45,0.9,3.6,0.5,5.0,Tablet,WiFi
199,2024-02-01,46,46-60,2.1,6.9,2.3,11.3,Tablet,Mobile Data
200,2024-07-06,50,46-60,1.8,4.2,2.0,8.0,Laptop,Mobile Data
201,2024-06-19,39,36-45,1.4,3.9,3.4,8.7,Laptop,WiFi
202,2024-04-27,25,19-25,3.4,2.5,3.2,9.1,Mobile,WiFi
203,2024-06-24,72,60+,1.1,2.8,1.1,5.0,Laptop,Mobile Data
204,2024-08-27,45,36-45,3.3,6.1,2.4,11.8,Laptop,WiFi
205,2024-04-02,69,60+,0.3,3.4,2.8,6.5,Laptop,WiFi
206,2024-04-02,27,26-35,2.8,6.9,3.3,13.0,Mobile,WiFi
207,2024-11-16,60,46-60,3.1,1.1,2.4,6.6,Mobile,Mobile Data
208,2024-09-16,25,19-25,3.8,2.9,0.7,7.4,Mobile,Mobile Data
209,2024-12-01,18,13-18,3.5,4.1,1.7,9.3,Tablet,Mobile Data
210,2024-07-17,65,60+,2.1,2.6,2.0,6.7,Tablet,WiFi
211,2024-12-22,31,26-35,0.9,5.0,1.3,7.2,Tablet,Mobile Data
212,2024-09-21,18,13-18,2.6,3.0,3.1,8.7,Tablet,WiFi
213,2024-02-21,73,60+,0.7,6.3,0.8,7.8,Tablet,WiFi
214,2024-01-26,60,46-60,3.5,4.1,1.7,9.3,Mobile,WiFi
215,2024-08-16,49,46-60,1.8,4.6,1.9,8.3,Mobile,Mobile Data
216,2024-10-21,13,13-18,0.3,6.4,0.9,7.6,Mobile,WiFi
217,2024-10-22,18,13-18,3.7,3.9,1.7,9.3,Mobile,WiFi
218,2024-09-15,28,26-35,1.7,2.7,3.0,7.4,Laptop,Mobile Data
219,2024-08-08,35,26-35,0.6,6.6,1.8,9.0,Mobile,Mobile Data
220,2024-11-28,14,13-18,0.5,4.8,1.1,6.4,Tablet,WiFi
221,2024-01-22,22,19-25,0.7,5.1,1.9,7.7,Mobile,Mobile Data
222,2024-12-21,29,26-35,0.5,5.8,1.6,7.9,Tablet,Mobile Data
223,2024-10-09,62,60+,3.7,3.7,2.8,10.2,Mobile,Mobile Data
224,2024-01-29,64,60+,3.0,6.1,0.8,9.9,Mobile,Mobile Data
225,2024-09-27,46,46-60,2.8,5.4,1.5,9.7,Tablet,WiFi
226,2024-06-08,25,19-25,1.1,2.5,3.3,6.9,Laptop,Mobile Data
227,2024-02-26,54,46-60,1.2,3.1,2.5,6.8,Mobile,WiFi
228,2024-11-13,22,19-25,2.8,3.1,3.2,9.1,Tablet,WiFi
229,2024-09-07,38,36-45,1.6,3.9,1.1,6.6,Mobile,WiFi
230,2024-06-08,39,36-45,3.1,4.9,2.1,10.1,Tablet,WiFi
231,2024-05-25,27,26-35,3.6,6.6,1.5,11.7,Laptop,Mobile Data
232,2024-03-03,67,60+,1.5,5.3,2.5,9.3,Mobile,WiFi
233,2024-02-19,68,60+,2.3,6.5,2.9,11.7,Tablet,WiFi
234,2024-12-27,31,26-35,3.4,2.8,2.9,9.1,Mobile,WiFi
235,2024-06-09,13,13-18,2.9,4.0,1.6,8.5,Laptop,WiFi
236,2024-07-24,45,36-45,1.7,4.2,1.6,7.5,Tablet,Mobile Data
237,2024-11-14,18,13-18,1.3,1.7,1.7,4.7,Laptop,Mobile Data
238,2024-07-07,55,46-60,0.8,2.4,0.8,4.0,Tablet,WiFi
239,2024-05-24,26,26-35,1.4,4.6,0.8,6.8,Laptop,WiFi
240,2024-03-31,17,13-18,1.8,3.5,3.4,8.7,Tablet,WiFi
241,2024-05-19,23,19-25,2.5,5.6,3.5,11.6,Tablet,Mobile Data
242,2024-06-04,23,19-25,0.7,2.4,1.6,4.7,Laptop,Mobile Data
243,2024-01-10,42,36-45,0.4,1.8,0.7,2.9,Laptop,WiFi
244,2024-05-25,35,26-35,3.0,6.4,1.5,10.9,Tablet,WiFi
245,2024-02-01,27,26-35,2.9,1.6,3.0,7.5,Tablet,Mobile Data
246,2024-10-08,27,26-35,0.3,3.7,2.0,6.0,Tablet,Mobile Data
247,2024-01-13,26,26-35,3.7,4.0,3.5,11.2,Mobile,Mobile Data
248,2024-05-02,75,60+,2.9,1.8,2.9,7.6,Tablet,Mobile Data
249,2024-05-17,63,60+,2.3,2.8,3.4,8.5,Mobile,Mobile Data
250,2024-05-18,13,13-18,2.4,5.9,1.8,10.1,Laptop,WiFi
251,2024-04-27,34,26-35,1.5,1.6,2.6,5.7,Mobile,WiFi
252,2024-02-28,17,13-18,2.1,7.0,2.1,11.2,Tablet,Mobile Data
253,2024-09-20,65,60+,1.4,4.7,3.5,9.6,Tablet,WiFi
254,2024-10-23,70,60+,3.9,6.2,0.9,11.0,Mobile,Mobile Data
255,2024-04-04,32,26-35,3.0,1.6,2.4,7.0,Laptop,Mobile Data
256,2024-02-22,68,60+,3.9,2.6,1.4,7.9,Laptop,Mobile Data
257,2024-09-06,19,19-25,3.3,5.8,3.2,12.3,Tablet,Mobile Data
258,2024-10-19,39,36-45,2.2,6.0,1.8,10.0,Tablet,WiFi
259,2024-03-12,25,19-25,2.2,2.4,2.7,7.3,Laptop,Mobile Data
260,2024-10-29,58,46-60,0.7,1.6,1.0,3.3,Mobile,WiFi
261,2024-07-02,32,26-35,2.5,1.1,1.0,4.6,Tablet,WiFi
262,2024-09-09,63,60+,3.1,6.7,1.6,11.4,Mobile,Mobile Data
263,2024-11-10,38,36-45,2.4,4.9,1.5,8.8,Tablet,Mobile Data
264,2024-05-11,52,46-60,1.1,6.1,1.8,9.0,Tablet,WiFi
265,2024-08-13,69,60+,4.0,5.6,1.6,11.2,Laptop,Mobile Data
266,2024-07-11,28,26-35,2.0,4.5,1.3,7.8,Laptop,Mobile Data
267,2024-06-28,43,36-45,3.7,6.0,1.4,11.1,Laptop,WiFi
268,2024-05-20,64,60+,0.2,1.6,2.5,4.3,Mobile,Mobile Data
269,2024-04-27,16,13-18,4.0,3.9,1.0,8.9,Tablet,Mobile Data
270,2024-09-12,29,26-35,0.9,4.3,2.6,7.8,Laptop,Mobile Data
271,2024-05-21,41,36-45,3.9,2.6,1.8,8.3,Mobile,WiFi
272,2024-12-21,39,36-45,3.8,1.2,1.6,6.6,Mobile,Mobile Data
273,2024-03-05,34,26-35,2.8,4.4,1.7,8.9,Mobile,Mobile Data
274,2024-10-21,49,46-60,2.0,5.2,2.9,10.1,Tablet,Mobile Data
275,2024-02-11,22,19-25,0.7,5.7,2.5,8.9,Tablet,Mobile Data
276,2024-08-25,27,26-35,0.7,2.4,2.9,6.0,Mobile,Mobile Data
277,2024-04-03,19,19-25,3.8,3.9,0.7,8.4,Laptop,WiFi
278,2024-02-19,13,13-18,1.3,6.4,3.3,11.0,Tablet,Mobile Data
279,2024-12-16,26,26-35,3.3,3.9,0.6,7.8,Tablet,Mobile Data
280,2024-09-16,15,13-18,1.0,4.0,3.4,8.4,Mobile,WiFi
281,2024-05-05,15,13-18,1.4,5.7,1.8,8.9,Tablet,WiFi
282,2024-03-22,37,36-45,3.8,2.1,2.7,8.6,Tablet,Mobile Data
283,2024-09-26,13,13-18,0.4,1.5,1.7,3.6,Laptop,WiFi
284,2024-01-24,13,13-18,3.4,3.2,1.4,8.0,Tablet,Mobile Data
285,2024-02-13,26,26-35,0.7,1.1,3.4,5.2,Mobile,Mobile Data
286,2024-08-22,35,26-35,2.6,4.6,3.3,10.5,Tablet,WiFi
287,2024-06-18,22,19-25,3.3,5.7,2.7,11.7,Mobile,Mobile Data
288,2024-07-30,36,36-45,2.3,3.3,0.9,6.5,Laptop,Mobile Data
289,2024-05-20,42,36-45,3.0,5.4,1.5,9.9,Mobile,Mobile Data
290,2024-06-05,72,60+,1.5,1.5,2.0,5.0,Mobile,Mobile Data
291,2024-03-23,74,60+,0.7,3.7,1.5,5.9,Laptop,Mobile Data
292,2024-02-26,23,19-25,0.7,2.6,0.7,4.0,Laptop,Mobile Data
293,2024-04-08,72,60+,0.7,6.4,1.8,8.9,Laptop,Mobile Data
294,2024-02-03,17,13-18,3.2,4.6,2.3,10.1,Laptop,Mobile Data
295,2024-05-14,73,60+,2.2,6.5,2.4,11.1,Tablet,WiFi
296,2024-09-30,57,46-60,2.6,2.5,2.3,7.4,Laptop,Mobile Data
297,2024-02-16,19,19-25,3.9,2.6,0.6,7.1,Tablet,WiFi
298,2024-05-04,33,26-35,0.5,3.0,1.0,4.5,Mobile,WiFi
299,2024-05-21,69,60+,2.9,5.5,0.6,9.0,Tablet,WiFi
300,2024-07-05,17,13-18,2.1,2.2,3.1,7.4,Tablet,Mobile Data
301,2024-06-14,24,19-25,3.5,2.7,0.6,6.8,Tablet,Mobile Data
302,2024-08-28,17,13-18,1.2,4.6,3.0,8.8,Laptop,WiFi
303,2024-04-25,58,46-60,2.0,1.1,3.0,6.1,Laptop,WiFi
304,2024-05-30,73,60+,1.9,4.4,0.8,7.1,Tablet,Mobile Data
305,2024-10-22,27,26-35,1.7,2.9,1.3,5.9,Tablet,Mobile Data
306,2024-11-24,25,19-25,3.0,1.6,1.3,5.9,Tablet,WiFi
307,2024-08-17,42,36-45,1.2,3.9,0.9,6.0,Mobile,Mobile Data
308,2024-06-05,16,13-18,3.5,5.0,3.4,11.9,Tablet,Mobile Data
309,2024-02-23,18,13-18,0.8,4.4,3.1,8.3,Mobile,Mobile Data
310,2024-07-20,56,46-60,2.8,2.3,1.6,6.7,Laptop,WiFi
311,2024-03-30,51,46-60,0.5,3.3,2.3,6.1,Tablet,WiFi
312,2024-01-05,30,26-35,3.1,4.1,1.9,9.1,Mobile,Mobile Data
313,2024-12-24,48,46-60,3.2,3.3,3.2,9.7,Tablet,Mobile Data
314,2024-08-10,19,19-25,1.2,6.5,2.8,10.5,Mobile,Mobile Data
315,2024-06-19,17,13-18,0.4,2.6,1.9,4.9,Laptop,WiFi
316,2024-11-30,19,19-25,1.5,2.4,3.2,7.1,Mobile,WiFi
317,2024-05-17,23,19-25,1.9,5.6,2.1,9.6,Tablet,WiFi
318,2024-05-25,65,60+,1.8,6.8,3.4,12.0,Laptop,WiFi
319,2024-10-07,23,19-25,2.1,3.7,2.2,8.0,Laptop,Mobile Data
320,2024-09-15,64,60+,0.5,3.9,2.7,7.1,Tablet,Mobile Data
321,2024-03-12,47,46-60,3.8,6.1,0.7,10.6,Laptop,Mobile Data
322,2024-11-22,48,46-60,3.9,6.8,0.8,11.5,Tablet,WiFi
323,2024-01-08,58,46-60,2.8,4.4,3.4,10.6,Laptop,Mobile Data
324,2024-02-02,32,26-35,3.9,5.5,1.1,10.5,Laptop,WiFi
325,2024-08-11,23,19-25,4.0,4.1,2.2,10.3,Laptop,Mobile Data
326,2024-02-11,61,60+,0.8,1.7,0.9,3.4,Laptop,WiFi
327,2024-08-27,21,19-25,3.6,1.6,2.2,7.4,Tablet,WiFi
328,2024-01-26,36,36-45,1.0,5.8,0.8,7.6,Laptop,WiFi
329,2024-09-10,43,36-45,2.7,4.3,2.4,9.4,Laptop,WiFi
330,2024-07-24,45,36-45,1.9,7.0,1.3,10.2,Tablet,WiFi
331,2024-07-15,40,36-45,1.1,1.0,0.5,2.6,Tablet,WiFi
332,2024-10-10,13,13-18,1.2,6.8,3.2,11.2,Laptop,Mobile Data
